   0.2574273E+02   0.0000000E+00 0      1      0      0      0      0
   0.2575273E+02   0.0000000E+00 0      3      0      0      0      0
   0.2576273E+02   0.0000000E+00 0      5      0      0      0      0
   0.2577273E+02   0.0000000E+00 0      7      0      0      0      0
   0.2578273E+02   0.0000000E+00 0      9      0      0      0      0
   0.2579273E+02   0.0000000E+00 0     11      0      0      0      0
   0.2580273E+02   0.0000000E+00 0     13      0      0      0      0
   0.2581273E+02   0.0000000E+00 0     15      0      0      0      0
   0.2582273E+02   0.0000000E+00 0     17      0      0      0      0
   0.2583273E+02   0.0000000E+00 0     19      0      0      0      0
   0.2584273E+02   0.0000000E+00 0     21      0      0      0      0
   0.2585273E+02   0.0000000E+00 0     23      0      0      0      0
   0.2586273E+02   0.0000000E+00 0     25      0      0      0      0
   0.2587273E+02   0.0000000E+00 0     27      0      0      0      0
   0.2588273E+02   0.0000000E+00 0     29      0      0      0      0
   0.2589273E+02   0.0000000E+00 0     31      0      0      0      0
   0.2590273E+02   0.0000000E+00 0     33      0      0      0      0
   0.2591273E+02   0.0000000E+00 0     35      0      0      0      0
   0.2592273E+02   0.0000000E+00 0     37      0      0      0      0
   0.2593273E+02   0.0000000E+00 0     39      0      0      0      0
   0.2594273E+02   0.0000000E+00 0     41      0      0      0      0
   0.2595273E+02   0.0000000E+00 0     43      0      0      0      0
   0.2596273E+02   0.0000000E+00 0     45      0      0      0      0
   0.2597273E+02   0.0000000E+00 0     47      0      0      0      0
   0.2598159E+02   0.0000000E+00 0     49      0      0      0      0
   0.2598371E+02   0.4352839E-13 1     51      0      0      0      0
   0.2598683E+02   0.2569975E-12 1     53      0      0      0      0
   0.2599143E+02   0.1863488E-11 0     55      0      0      0      0
   0.2599821E+02   0.1675713E-10 0     57      0      0      0      0
   0.2600804E+02   0.1362692E-09 0     59      0      0      0      0
   0.2601788E+02   0.3657190E-09 0     61      0      0      0      0
   0.2602772E+02   0.7409985E-09 0     63      0      0      0      0
   0.2603755E+02   0.1298344E-08 0     65      0      0      0      0
   0.2604739E+02   0.2074247E-08 0     67      0      0      0      0
   0.2605722E+02   0.3105186E-08 0     69      0      0      0      0
   0.2606706E+02   0.4424820E-08 0     71      0      0      0      0
   0.2607689E+02   0.6067746E-08 0     73      0      0      0      0
   0.2608673E+02   0.8063014E-08 0     75      0      0      0      0
   0.2609657E+02   0.1043688E-07 0     77      0      0      0      0
   0.2610640E+02   0.1321241E-07 0     79      0      0      0      0
   0.2611624E+02   0.1641176E-07 0     81      0      0      0      0
   0.2612607E+02   0.2005882E-07 0     83      0      0      0      0
